,name,url,rating,coordinates.latitude,coordinates.longitude,location.city
36,Hôtel Particulier Poppa,https://www.yelp.com/biz/h%C3%B4tel-particulier-poppa-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.2769,-0.70743,Bayeux
37,Le Lion d'Or,https://www.yelp.com/biz/le-lion-d-or-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.27594,-0.69849,Bayeux
38,Hôtel Tardif,https://www.yelp.com/biz/h%C3%B4tel-tardif-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.274452,-0.7021043,Bayeux
39,Au Georges VII,https://www.yelp.com/biz/au-georges-vii-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.276975945372,-0.70201,Bayeux
40,Grand Hôtel du Luxembourg,https://www.yelp.com/biz/grand-h%C3%B4tel-du-luxembourg-bayeux-3?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.278394,-0.703253,Bayeux
41,Hôtel Reine Mathilde,https://www.yelp.com/biz/h%C3%B4tel-reine-mathilde-bayeux-3?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.276095,-0.701667,Bayeux
42,Hôtel Churchill,https://www.yelp.com/biz/h%C3%B4tel-churchill-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.27661,-0.70054,Bayeux
43,Hotel de Brunville,https://www.yelp.com/biz/hotel-de-brunville-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,49.2781296,-0.70344,Bayeux
44,Hôtel Campanile,https://www.yelp.com/biz/h%C3%B4tel-campanile-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.269833,-0.706543,Bayeux
45,Le Castel,https://www.yelp.com/biz/le-castel-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.2736217000092,-0.703101759524543,Bayeux
46,Belle Normandy,https://www.yelp.com/biz/belle-normandy-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.274666,-0.707067,Bayeux
47,Hôtel de la Gare,https://www.yelp.com/biz/h%C3%B4tel-de-la-gare-bayeux-4?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,1.0,49.26998,-0.69817,Bayeux
48,La Tour Louise,https://www.yelp.com/biz/la-tour-louise-bayeux?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.274055480957,-0.703901946544647,Bayeux
49,Les Maisons de Léa,https://www.yelp.com/biz/les-maisons-de-l%C3%A9a-honfleur-4?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.421065,0.231965,Honfleur
50,Hôtel Carmin,https://www.yelp.com/biz/h%C3%B4tel-carmin-le-havre-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.494872,0.105591,Le Havre
51,Vent d'Ouest,https://www.yelp.com/biz/vent-d-ouest-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.4915115,0.100746,Le Havre
52,Les Gens De Mer,https://www.yelp.com/biz/les-gens-de-mer-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.5,49.48999,0.103598,Le Havre
53,Ibis le Havre Centre,https://www.yelp.com/biz/ibis-le-havre-centre-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.491796,0.118689,Le Havre
54,Anatole France Hôtel,https://www.yelp.com/biz/anatole-france-h%C3%B4tel-le-havre-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,1.0,49.4957495,0.118539,Le Havre
55,Le Bellevue,https://www.yelp.com/biz/le-bellevue-villerville?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.40202,0.12997,Villerville
56,Hôtel Mercure Honfleur,https://www.yelp.com/biz/h%C3%B4tel-mercure-honfleur-honfleur?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.41833,0.23816,Honfleur
57,Hôtel Novotel,https://www.yelp.com/biz/h%C3%B4tel-novotel-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.495263,0.111077,Le Havre
58,Best Western Art Hôtel,https://www.yelp.com/biz/best-western-art-h%C3%B4tel-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.491278,0.106329,Le Havre
59,Hotel Ibis,https://www.yelp.com/biz/hotel-ibis-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.5,49.503738,0.125807,Le Havre
60,Hôtel Parisien,https://www.yelp.com/biz/h%C3%B4tel-parisien-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,49.498608,0.128683,Le Havre
61,Hôtel Romantica,https://www.yelp.com/biz/h%C3%B4tel-romantica-pennedepie?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.397682711963,0.147039374844269,Pennedepie
62,Hôtel ibis Budget Honfleur Centre Ville,https://www.yelp.com/biz/h%C3%B4tel-ibis-budget-honfleur-centre-ville-honfleur?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.4179868,0.239264,Honfleur
63,Le Fer à Cheval,https://www.yelp.com/biz/le-fer-%C3%A0-cheval-trouville-sur-mer?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.36676,0.080583,Trouville sur Mer
64,Inter-Hotel Terminus,https://www.yelp.com/biz/inter-hotel-terminus-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,49.497032,0.127606,Le Havre
